Section_Id,Book_Id,Chunk_Id,Chunk_Letters,Chunk_Words,Chunk_Approx_Tokens
Book03_183,1,1,1,1,1
Book03_185,1,1,1,1,1
Book03_187,2,2,2,2,2
Book03_188,1,1,1,1,1
Book03_189,1,1,1,1,1
Book03_191,1,1,1,1,1
Book03_193,1,1,1,1,1
Book03_194,1,1,1,1,1
Book03_195,1,1,1,1,1
Book03_198,1,1,1,1,1
Book03_199,1,1,1,1,1
Book03_200,1,1,1,1,1
Book03_201,1,1,1,1,1
Book03_202,1,1,1,1,1
Book03_204,1,1,1,1,1
Book03_206,1,1,1,1,1
Book03_208,2,2,2,2,2
Book03_209,1,1,1,1,1
Book03_210,1,1,1,1,1
Book03_211,1,1,1,1,1
Book03_213,1,1,1,1,1
Book03_214,1,1,1,1,1
Book03_215,1,1,1,1,1
Book03_216,1,1,1,1,1
Book03_217,1,1,1,1,1
Book03_218,1,1,1,1,1
Book03_219,1,1,1,1,1
Book03_220,1,1,1,1,1
Book03_221,1,1,1,1,1
Book03_222,1,1,1,1,1
Book03_225,1,1,1,1,1
Book03_226,1,1,1,1,1
Book03_227,1,1,1,1,1
Book03_229,1,1,1,1,1
Book03_231,1,1,1,1,1
Book03_232,1,1,1,1,1
Book03_233,1,1,1,1,1
Book03_235,1,1,1,1,1
Book03_236,1,1,1,1,1
Book03_237,1,1,1,1,1
Book03_238,1,1,1,1,1
Book03_239,1,1,1,1,1
Book03_240,1,1,1,1,1
Book03_241,1,1,1,1,1
Book03_242,1,1,1,1,1
Book03_243,1,1,1,1,1
Book03_244,1,1,1,1,1
Book03_245,1,1,1,1,1
Book03_246,1,1,1,1,1
Book03_248,1,1,1,1,1
Book03_249,1,1,1,1,1
Book03_251,1,1,1,1,1
Book03_252,1,1,1,1,1
Book03_253,1,1,1,1,1
Book03_254,1,1,1,1,1
Book03_255,1,1,1,1,1
Book03_256,1,1,1,1,1
Book03_257,1,1,1,1,1
Book03_258,1,1,1,1,1
Book03_259,1,1,1,1,1
Book03_260,1,1,1,1,1
Book03_262,1,1,1,1,1
Book03_263,1,1,1,1,1
Book03_264,1,1,1,1,1
Book03_265,1,1,1,1,1
Book03_266,1,1,1,1,1
Book03_268,1,1,1,1,1
Book03_269,1,1,1,1,1
Book03_271,1,1,1,1,1
Book03_272,1,1,1,1,1
Book03_273,1,1,1,1,1
Book03_274,1,1,1,1,1
Book03_275,1,1,1,1,1
Book03_278,1,1,1,1,1
Book03_279,1,1,1,1,1
Book03_280,1,1,1,1,1
Book03_283,1,1,1,1,1
Book03_284,1,1,1,1,1
Book03_285,1,1,1,1,1
Book03_286,1,1,1,1,1
Book03_287,1,1,1,1,1
Book03_288,1,1,1,1,1
Book03_289,1,1,1,1,1
Book03_290,1,1,1,1,1
Book03_292,1,1,1,1,1
Book03_293,1,1,1,1,1
Book03_294,1,1,1,1,1
Book03_295,2,2,2,2,2
Book03_297,1,1,1,1,1
Book03_299,1,1,1,1,1
Book03_300,1,1,1,1,1
Book03_301,1,1,1,1,1
Book03_302,1,1,1,1,1
Book03_303,1,1,1,1,1
Book03_304,1,1,1,1,1
Book03_305,1,1,1,1,1
Book03_306,1,1,1,1,1
Book03_307,1,1,1,1,1
Book03_309,1,1,1,1,1
Book03_311,2,2,2,2,2
Book03_312,1,1,1,1,1
Book04_001,1,1,1,1,1
Book04_002,1,1,1,1,1
Book04_003,1,1,1,1,1
Book04_004,1,1,1,1,1
Book04_005,1,1,1,1,1
Book04_007,1,1,1,1,1
Book04_008,1,1,1,1,1
Book04_010,1,1,1,1,1
Book04_011,1,1,1,1,1
Book04_012,1,1,1,1,1
Book04_014,1,1,1,1,1
Book04_015,1,1,1,1,1
Book04_016,1,1,1,1,1
Book04_017,1,1,1,1,1
Book04_018,1,1,1,1,1
Book04_020,1,1,1,1,1
Book04_022,1,1,1,1,1
Book04_023,1,1,1,1,1
Book04_024,1,1,1,1,1
Book04_025,1,1,1,1,1
Book04_026,1,1,1,1,1
Book04_027,1,1,1,1,1
Book04_029,1,1,1,1,1
Book04_030,1,1,1,1,1
Book04_031,1,1,1,1,1
Book04_032,1,1,1,1,1
Book04_033,2,2,2,2,2
Book04_034,1,1,1,1,1
Book04_035,1,1,1,1,1
Book04_036,1,1,1,1,1
Book04_037,1,1,1,1,1
Book04_039,1,1,1,1,1
Book04_040,1,1,1,1,1
Book04_041,1,1,1,1,1
Book04_042,1,1,1,1,1
Book04_043,1,1,1,1,1
Book04_044,1,1,1,1,1
Book04_046,1,1,1,1,1
Book04_047,1,1,1,1,1
Book04_048,1,1,1,1,1
Book04_049,1,1,1,1,1
Book04_050,1,1,1,1,1
Book04_051,1,1,1,1,1
Book04_052,1,1,1,1,1
Book04_053,1,1,1,1,1
Book04_055,1,1,1,1,1
Book04_056,1,1,1,1,1
Book04_058,1,1,1,1,1
Book04_059,1,1,1,1,1
Book04_060,1,1,1,1,1
Book04_062,1,1,1,1,1
Book04_064,1,1,1,1,1
Book04_066,1,1,1,1,1
Book04_067,1,1,1,1,1
Book04_068,1,1,1,1,1
Book04_069,1,1,1,1,1
Book04_072,1,1,1,1,1
Book05_033,1,1,1,1,1
Book05_039,1,1,1,1,1
Book05_041,1,1,1,1,1
Book05_057,1,1,1,1,1
Book05_067,1,1,1,1,1
Book05_068,1,1,1,1,1
Book05_071,1,1,1,1,1
Book05_072,1,1,1,1,1
Book05_081,1,1,1,1,1
Book05_090,1,1,1,1,1
Book05_101,1,1,1,1,1
Book05_130,1,1,1,1,1
Book05_141,1,1,1,1,1
Book05_145,1,1,1,1,1
Book05_164,1,1,1,1,1
Book05_165,1,1,1,1,1
Book05_171,1,1,1,1,1
Book05_175,1,1,1,1,1
Book05_195,1,1,1,1,1
Book06_006,1,1,1,1,1
Book06_013,1,1,1,1,1
Book06_024,1,1,1,1,1
Book06_050,1,1,1,1,1
Book06_062,1,1,1,1,1
Book06_077,1,1,1,1,1
Book06_078,1,1,1,1,1
Book06_083,1,1,1,1,1
Book06_084,1,1,1,1,1
Book06_087,1,1,1,1,1
Book06_108,1,1,1,1,1
Book06_109,1,1,1,1,1
Book06_120,1,1,1,1,1
Book07_002,1,1,1,1,1
Book07_006,1,1,1,1,1
Book07_007,1,1,1,1,1
Book07_021,1,1,1,1,1
Book07_034,1,1,1,1,1
Book07_053,1,1,1,1,1
Book07_054,1,1,1,1,1
Book07_058,1,1,1,1,1
Book07_060,1,1,1,1,1
Book07_062,1,1,1,1,1
Book07_085,1,1,1,1,1
Book07_088,1,1,1,1,1
Book07_091,1,1,1,1,1
Book07_117,1,1,1,1,1
Book07_127,1,1,1,1,1
Book07_135,1,1,1,1,1
Book07_142,2,2,2,2,2
Book07_152,1,1,1,1,1
Book07_183,1,1,1,1,1
Book07_188,1,1,1,1,1
Book07_191,1,1,1,1,1
Book07_198,1,1,1,1,1
Book08_004,1,1,1,1,1
Book08_010,1,1,1,1,1
Book08_043,1,1,1,1,1
Book08_045,1,1,1,1,1
Book08_046,1,1,1,1,1
Book08_051,1,1,1,1,1
Book08_078,1,1,1,1,1
Book08_087,1,1,1,1,1
Book08_094,1,1,1,1,1
Book08_095,1,1,1,1,1
Book09_001,1,1,1,1,1
Book09_002,1,1,1,1,1
Book09_010,1,1,1,1,1
Book09_011,1,1,1,1,1
Book09_033,1,1,1,1,1
Book09_036,1,1,1,1,1
Book09_038,1,1,1,1,1
Book09_048,1,1,1,1,1
Book09_051,1,1,1,1,1
Book09_057,1,1,1,1,1
Book09_063,1,1,1,1,1
Book10_001,1,1,1,1,1
Book11_006,1,1,1,1,1
Book12_a005,1,1,1,1,1
Book12_a006,1,1,1,1,1
Book12_a013,1,1,1,1,1
Book12_a035,1,1,1,1,1
Book12_a039,1,1,1,1,1
Book12_a042,1,1,1,1,1
Book12_a048,1,1,1,1,1
Book12_a049,1,1,1,1,1
Book12_a050,1,1,1,1,1
Book12_a061,1,1,1,1,1
Book12_a067,2,2,2,2,2
Book12_a081,1,1,1,1,1
Book12_a083,1,1,1,1,1
Book12_a086,1,1,1,1,1
Book12_a093,1,1,1,1,1
Book12_a110,1,1,1,1,1
Book12_a128,1,1,1,1,1
Book12_a135,1,1,1,1,1
